,id disease,id symptom,rate
248,41,341,
249,41,229,
250,41,345,
251,42,273,80%-99%
252,42,109,80%-99%
253,42,279,30%-79%
254,42,408,30%-79%
255,42,102,30%-79%
256,42,259,30%-79%
257,42,104,30%-79%
258,42,283,30%-79%
259,42,116,30%-79%
260,42,286,30%-79%
261,42,243,30%-79%
262,42,650,30%-79%
263,42,393,30%-79%
264,42,277,30%-79%
265,42,676,5%-29%
266,42,236,5%-29%
267,42,643,5%-29%
268,42,263,5%-29%
269,42,106,5%-29%
270,42,434,5%-29%
271,42,40,5%-29%
272,42,44,5%-29%
273,42,302,5%-29%
274,42,114,1%-4%
275,42,407,1%-4%
276,42,100,1%-4%
277,42,292,1%-4%
278,42,357,1%-4%
279,42,261,1%-4%
280,42,56,1%-4%
281,42,288,1%-4%
282,42,420,1%-4%
283,42,26,1%-4%
284,42,688,1%-4%
285,42,649,1%-4%
286,42,269,1%-4%
287,42,234,
288,42,11,
289,42,308,
290,42,280,
291,42,610,
292,42,265,
293,42,343,
294,43,367,80%-99%
295,43,272,30%-79%
296,43,105,30%-79%
297,44,115,
298,45,321,5%-29%
299,45,11,
300,46,11,
301,48,106,80%-99%
302,48,639,30%-79%
303,48,500,30%-79%
304,49,413,80%-99%
305,49,233,30%-79%
306,49,211,5%-29%
307,49,523,5%-29%
308,49,639,1%-4%
309,49,100,1%-4%
310,49,534,1%-4%
311,49,236,1%-4%
312,49,643,1%-4%
313,49,260,1%-4%
314,49,238,1%-4%
315,49,263,1%-4%
316,49,11,
317,50,28,80%-99%
318,50,503,
319,50,744,
320,50,115,
321,50,755,
322,51,737,
323,51,234,
324,51,11,
325,51,350,
326,51,98,
327,51,100,
328,51,292,
329,51,419,
330,51,265,
331,51,229,
332,51,390,
333,53,92,80%-99%
334,53,67,80%-99%
335,53,542,80%-99%
336,53,420,80%-99%
337,53,626,80%-99%
338,53,80,80%-99%
339,53,302,80%-99%
340,53,308,30%-79%
341,53,153,30%-79%
342,53,491,30%-79%
343,53,103,30%-79%
344,53,39,30%-79%
345,53,413,30%-79%
346,53,217,5%-29%
347,53,412,5%-29%
348,53,767,5%-29%
349,53,516,5%-29%
350,53,100,5%-29%
351,53,280,5%-29%
352,53,417,5%-29%
